num_demands,seed,state,demand_id,bandwidth,ip_source,ip_target,optical_source,optical_target,ip_path,optical_mapped_path,ip_link_lightpaths
4,4042,best,d1,43,5,4,5,6,5 -> 0 -> 4,5 -> 1 -> 6,"IP 5->0 maps OPT 5->1: LP#3: 5 -> 7 -> 8 -> 1 [slot=0-0, slots=1]; LP#4: 5 -> 7 -> 8 -> 4 -> 2 -> 6 -> 1 [slot=1-1, slots=1]; LP#5: 5 -> 1 [slot=0-0, slots=1] | IP 0->4 maps OPT 1->6: LP#6: 1 -> 8 -> 4 -> 2 -> 7 -> 3 -> 6 [slot=2-2, slots=1]"
4,4042,best,d2,92,1,0,0,1,1 -> 3 -> 4 -> 5 -> 0,0 -> 9 -> 6 -> 5 -> 1,"IP 1->3 maps OPT 0->9: LP#7: 0 -> 4 -> 2 -> 7 -> 5 -> 9 [slot=3-3, slots=1]; LP#8: 0 -> 4 -> 8 -> 7 -> 5 -> 9 [slot=4-4, slots=1] | IP 3->4 maps OPT 9->6: LP#9: 9 -> 5 -> 1 -> 6 [slot=1-1, slots=1]; LP#10: 9 -> 5 -> 7 -> 2 -> 4 -> 8 -> 1 -> 6 [slot=2-2, slots=1] | IP 4->5 maps OPT 6->5: LP#0: 6 -> 2 -> 7 -> 5 [slot=0-0, slots=1]; LP#1: 6 -> 2 -> 7 -> 5 [slot=1-1, slots=1]; LP#2: 6 -> 3 -> 7 -> 5 [slot=2-2, slots=1] | IP 5->0 maps OPT 5->1: LP#3: 5 -> 7 -> 8 -> 1 [slot=0-0, slots=1]; LP#4: 5 -> 7 -> 8 -> 4 -> 2 -> 6 -> 1 [slot=1-1, slots=1]; LP#5: 5 -> 1 [slot=0-0, slots=1]"
4,4042,best,d3,45,5,3,5,9,5 -> 4 -> 3,5 -> 6 -> 9,"IP 5->4 maps OPT 5->6: LP#11: 5 -> 1 -> 8 -> 4 -> 2 -> 6 [slot=4-4, slots=1] | IP 4->3 maps OPT 6->9: LP#12: 6 -> 2 -> 7 -> 8 -> 1 -> 5 -> 9 [slot=5-5, slots=1]"
4,4042,lns,d0,84,4,0,6,1,4 -> 0,6 -> 1,"IP 4->0 maps OPT 6->1: LP#13: 6 -> 1 [slot=0-0, slots=1]; LP#15: 6 -> 1 [slot=2-2, slots=1]"
4,4042,lns,d1,43,5,4,5,6,5 -> 0 -> 4,5 -> 1 -> 6,"IP 5->0 maps OPT 5->1: LP#3: 5 -> 7 -> 8 -> 1 [slot=0-0, slots=1]; LP#5: 5 -> 1 [slot=0-0, slots=1] | IP 0->4 maps OPT 1->6: LP#6: 1 -> 8 -> 4 -> 2 -> 7 -> 3 -> 6 [slot=2-2, slots=1]"
4,4042,lns,d2,92,1,0,0,1,1 -> 5 -> 0,0 -> 5 -> 1,"IP 1->5 maps OPT 0->5: LP#14: 0 -> 4 -> 8 -> 1 -> 5 [slot=1-1, slots=1]; LP#17: 0 -> 4 -> 8 -> 1 -> 5 [slot=6-6, slots=1] | IP 5->0 maps OPT 5->1: LP#3: 5 -> 7 -> 8 -> 1 [slot=0-0, slots=1]; LP#5: 5 -> 1 [slot=0-0, slots=1]"
4,4042,lns,d3,45,5,3,5,9,5 -> 4 -> 0 -> 3,5 -> 6 -> 1 -> 9,"IP 5->4 maps OPT 5->6: LP#11: 5 -> 1 -> 8 -> 4 -> 2 -> 6 [slot=4-4, slots=1] | IP 4->0 maps OPT 6->1: LP#13: 6 -> 1 [slot=0-0, slots=1]; LP#15: 6 -> 1 [slot=2-2, slots=1] | IP 0->3 maps OPT 1->9: LP#16: 1 -> 5 -> 9 [slot=0-0, slots=1]"
6,6042,initial,d0,20,5,1,5,0,5 -> 4 -> 0 -> 3 -> 1,5 -> 6 -> 1 -> 9 -> 0,"IP 5->4 maps OPT 5->6: LP#0: 5 -> 7 -> 8 -> 4 -> 2 -> 6 [slot=0-0, slots=1]; LP#1: 5 -> 7 -> 8 -> 4 -> 2 -> 6 [slot=1-1, slots=1] | IP 4->0 maps OPT 6->1: LP#2: 6 -> 3 -> 7 -> 8 -> 1 [slot=2-2, slots=1]; LP#3: 6 -> 3 -> 7 -> 8 -> 1 [slot=3-3, slots=1] | IP 0->3 maps OPT 1->9: LP#4: 1 -> 8 -> 7 -> 2 -> 6 -> 9 [slot=2-2, slots=1] | IP 3->1 maps OPT 9->0: LP#5: 9 -> 5 -> 7 -> 8 -> 4 -> 0 [slot=4-4, slots=1]"
6,6042,initial,d1,46,4,3,6,9,4 -> 5 -> 1 -> 3,6 -> 5 -> 0 -> 9,"IP 4->5 maps OPT 6->5: LP#6: 6 -> 1 -> 8 -> 7 -> 5 [slot=0-0, slots=1]; LP#7: 6 -> 2 -> 4 -> 8 -> 7 -> 5 [slot=1-1, slots=1] | IP 5->1 maps OPT 5->0: LP#8: 5 -> 1 -> 8 -> 7 -> 2 -> 4 -> 0 [slot=3-3, slots=1]; LP#9: 5 -> 1 -> 6 -> 2 -> 7 -> 8 -> 4 -> 0 [slot=5-5, slots=1] | IP 1->3 maps OPT 0->9: LP#10: 0 -> 4 -> 2 -> 7 -> 3 -> 6 -> 9 [slot=3-3, slots=1]; LP#11: 0 -> 4 -> 2 -> 6 -> 1 -> 5 -> 9 [slot=4-4, slots=1]"
6,6042,initial,d2,70,0,3,1,9,0 -> 5 -> 4 -> 3,1 -> 5 -> 6 -> 9,"IP 0->5 maps OPT 1->5: LP#12: 1 -> 8 -> 7 -> 5 [slot=4-4, slots=1] | IP 5->4 maps OPT 5->6: LP#0: 5 -> 7 -> 8 -> 4 -> 2 -> 6 [slot=0-0, slots=1]; LP#1: 5 -> 7 -> 8 -> 4 -> 2 -> 6 [slot=1-1, slots=1] | IP 4->3 maps OPT 6->9: LP#13: 6 -> 3 -> 7 -> 8 -> 1 -> 5 -> 9 [slot=6-6, slots=1]"
